284.4400000000	168.3200000000	16473.1600000000
1098.6400000000	120.1600000000	16444.5200000000
1762.5600000000	90.4400000000	16391.1600000000
2726.0800000000	75.1200000000	16266.0400000000
4196.0800000000	69.2800000000	15958.5200000000
5754.6000000000	13.7600000000	15478.9600000000
7398.2800000000	-28.9600000000	14779.6800000000
8922.4000000000	-101.0000000000	13926.5600000000
10208.2000000000	-104.0000000000	13027.0800000000
11262.0800000000	-139.9200000000	12134.0000000000
12180.1200000000	-211.0000000000	11221.4800000000
13038.0400000000	-257.1600000000	10215.0400000000
13869.2800000000	-340.3200000000	9061.0800000000
14463.8400000000	-403.5600000000	8074.6800000000
15051.7200000000	-415.0000000000	6915.2400000000
15423.6000000000	-441.7600000000	6033.6400000000
15782.1600000000	-476.3200000000	5013.0400000000
16046.4000000000	-482.6000000000	4073.1600000000
16226.4800000000	-520.8000000000	3252.9200000000
16396.8000000000	-529.4800000000	2181.8800000000
16511.6400000000	-560.0800000000	763.2000000000
-18.6400000000	225.0800000000	16465.4000000000
-2.6800000000	1048.0400000000	16422.8400000000
24.6800000000	1688.0800000000	16360.3200000000
10.4000000000	2687.7200000000	16208.1200000000
104.3200000000	4564.0400000000	15752.0000000000
90.4800000000	6498.5600000000	15019.9200000000
-7.1600000000	8206.3600000000	14123.9200000000
16.9600000000	9570.3600000000	13204.0400000000
125.0800000000	10676.3200000000	12295.5600000000
119.7600000000	11645.8000000000	11358.5200000000
189.9600000000	12539.8400000000	10324.3200000000
203.5200000000	13389.4400000000	9160.0800000000
222.5200000000	13998.8800000000	8169.1200000000
231.1200000000	14601.6000000000	6994.1200000000
250.6000000000	14982.2800000000	6108.9200000000
268.9600000000	15353.4400000000	5070.3200000000
262.7600000000	15623.0400000000	4118.7600000000
234.5600000000	15789.0400000000	3402.8000000000
263.0400000000	15975.2800000000	2285.7600000000
265.5200000000	16104.4000000000	839.6800000000
206.4400000000	19.2800000000	16486.0800000000
760.7600000000	575.0800000000	16456.8000000000
1219.2400000000	1042.4000000000	16400.7200000000
1892.7200000000	1775.7200000000	16267.6800000000
3353.8400000000	3329.1600000000	15769.2000000000
4677.6400000000	4697.9200000000	15052.2800000000
5820.2400000000	5887.6800000000	14196.6000000000
6743.4400000000	6922.2400000000	13268.3200000000
7503.9600000000	7700.1200000000	12390.6400000000
8187.1200000000	8401.0800000000	11451.0000000000
8782.5200000000	9039.6000000000	10460.8000000000
9395.8400000000	9665.1200000000	9286.3200000000
9829.8000000000	10115.0000000000	8287.6800000000
10259.6400000000	10527.5600000000	7154.6800000000
10510.6000000000	10811.1600000000	6305.0400000000
10811.7600000000	11068.4400000000	5226.0400000000
11002.2800000000	11281.2800000000	4264.1600000000
11152.9200000000	11414.4800000000	3414.7200000000
11268.0800000000	11543.4400000000	2403.5600000000
11362.7200000000	11645.2400000000	940.5600000000
42.1200000000	1.8800000000	16493.7200000000
-492.3600000000	569.6000000000	16461.7600000000
-939.7200000000	1017.5200000000	16409.5600000000
-1658.9600000000	1734.1200000000	16277.2000000000
-3176.4800000000	3211.3600000000	15781.8000000000
-4442.1200000000	4616.4400000000	15074.8800000000
-5686.1600000000	5715.2400000000	14225.5200000000
-6729.2400000000	6663.0000000000	13309.8800000000
-7496.7200000000	7463.1200000000	12424.0800000000
-8201.8000000000	8126.6800000000	11501.7600000000
-8855.6000000000	8737.5600000000	10501.5600000000
-9450.6400000000	9379.4800000000	9338.2400000000
-9905.4800000000	9817.8000000000	8340.0800000000
-10340.2800000000	10235.9600000000	7209.1600000000
-10601.2000000000	10526.1200000000	6336.7200000000
-10879.1200000000	10823.6800000000	5245.1200000000
-11093.1600000000	11005.4800000000	4306.6800000000
-11240.6000000000	11136.8800000000	3477.2800000000
-11369.7600000000	11266.3200000000	2445.0400000000
-11498.3600000000	11342.8000000000	976.8800000000
-1.8000000000	-83.4800000000	16489.9200000000
-738.4800000000	-71.3600000000	16467.2400000000
-1371.1200000000	-66.8000000000	16423.0800000000
