===== ACCEL FILTER TEST =====
ACC_NO_filter
4699	6383	-7493
4913	4902	-9592
6186	3010	-10908
7056	355	-11668
7416	-2817	-12300
9526	-3224	-11522
9605	-3256	-9915
7946	-3575	-10392
8035	-1704	-9522
7641	-287	-7419
7633	779	-7700
6999	1346	-8195
5334	479	-7973
4994	1226	-6690
5088	2782	-5557
3196	3846	-1506
1660	4596	686
1624	6271	2313
1599	6638	3502
655	5945	5799
335	5345	6812
505	4711	9251
844	3458	11072
-195	1691	12704
-873	505	15703
-1157	164	19556
-1048	544	24985
-1432	510	29792
-1625	230	32764
-1846	-212	32764
-1505	-352	32764
-1565	-942	32764
-2006	-3092	32764
-1635	-4118	32764
-602	-4896	32764
-196	-6144	32764
6654	-4198	32764
7287	-5196	32764
846	-9124	32764
1605	-6583	32764
3483	-2185	32764
-1317	-4120	32764
-2073	-4652	32764
2565	-2410	32764
5075	-2518	32764
2139	-4731	32764
308	-6097	32764
1902	-5203	32764
2313	-3181	32764
203	-2452	32764
-84	-801	31628
266	1392	28643
856	2816	24969
1167	3036	21235
1741	2613	16486
1857	1462	11661
1870	951	7469
1685	1281	3297
1972	3154	-955
2245	5204	-5212
2468	6959	-9638
3059	7976	-13528
4022	7761	-16004
4828	6196	-18094
5016	3784	-19033
5168	1923	-19672
5298	1417	-19938
5167	1012	-19660
5303	466	-17153
5636	-820	-13702
7104	-136	-11126
7106	316	-10823
8715	1510	-9581
9119	1484	-7450
5572	-618	-5735
5833	238	-3168
4566	259	-1715
2696	-64	585
1952	374	1367
1408	487	2966
962	396	4324
719	868	6122
57	1274	8089
-541	2004	10475
-636	3001	13167
-638	4406	16136
-652	4910	20490
-654	4708	24511
-1199	4231	29114
-1382	3332	32764
-1427	2322	32764
-1799	909	32764
-2306	-838	32764
-1968	-2401	32764
-1675	-3960	32764
-1421	-5924	32764
-1068	-7449	32764
-222	-8477	32764
6430	-4729	32764
9065	-5223	32764
Time_us: 449172

ACC_LP_DIV_10
2986	5096	-3518
2134	2230	-3448
3042	2066	-5558
3779	1316	-7686
4374	190	-10195
4779	-1211	-13006
5130	-2650	-15816
5560	-3854	-18135
5988	-4680	-19582
6326	-5078	-20124
7689	-4545	-19870
9322	-3725	-19086
9008	-3793	-18258
8024	-3644	-16849
7365	-3137	-15161
6710	-2838	-13872
6188	-2688	-12722
5529	-2816	-11127
5378	-2482	-9284
5305	-1838	-7720
4631	-1370	-6142
4118	-645	-4656
3684	367	-3152
